x,y,z,vx,vy,vz,mass
-0.201843,0.414194,0.000000,-8.415774,-3.953511,0.000000,1.000000e-12
-0.201188,0.414839,0.000000,-8.420424,-3.936607,0.000000,1.000000e-12
-0.200533,0.415481,0.000000,-8.425031,-3.919732,0.000000,1.000000e-12
-0.199877,0.416123,0.000000,-8.429595,-3.902870,0.000000,1.000000e-12
-0.199220,0.416763,0.000000,-8.434114,-3.886030,0.000000,1.000000e-12
-0.198564,0.417401,0.000000,-8.438593,-3.869226,0.000000,1.000000e-12
-0.197907,0.418037,0.000000,-8.443026,-3.852442,0.000000,1.000000e-12
-0.197249,0.418673,0.000000,-8.447423,-3.835669,0.000000,1.000000e-12
-0.196591,0.419307,0.000000,-8.451770,-3.818919,0.000000,1.000000e-12
-0.195933,0.419938,0.000000,-8.456075,-3.802220,0.000000,1.000000e-12
-0.195274,0.420569,0.000000,-8.460340,-3.785515,0.000000,1.000000e-12
-0.194615,0.421197,0.000000,-8.464563,-3.768846,0.000000,1.000000e-12
-0.193957,0.421824,0.000000,-8.468742,-3.752213,0.000000,1.000000e-12
-0.193297,0.422451,0.000000,-8.472882,-3.735560,0.000000,1.000000e-12
-0.192637,0.423075,0.000000,-8.476982,-3.718969,0.000000,1.000000e-12
-0.191976,0.423697,0.000000,-8.481037,-3.702395,0.000000,1.000000e-12
-0.191316,0.424317,0.000000,-8.485051,-3.685854,0.000000,1.000000e-12
-0.190655,0.424937,0.000000,-8.489029,-3.669313,0.000000,1.000000e-12
-0.189994,0.425555,0.000000,-8.492964,-3.652814,0.000000,1.000000e-12
-0.189332,0.426171,0.000000,-8.496857,-3.636338,0.000000,1.000000e-12
-0.188669,0.426786,0.000000,-8.500710,-3.619870,0.000000,1.000000e-12
-0.188008,0.427399,0.000000,-8.504520,-3.603453,0.000000,1.000000e-12
-0.187345,0.428011,0.000000,-8.508298,-3.587018,0.000000,1.000000e-12
-0.186682,0.428621,0.000000,-8.512029,-3.570641,0.000000,1.000000e-12
-0.186019,0.429229,0.000000,-8.515721,-3.554293,0.000000,1.000000e-12
-0.185355,0.429836,0.000000,-8.519379,-3.537949,0.000000,1.000000e-12
-0.184691,0.430441,0.000000,-8.522993,-3.521644,0.000000,1.000000e-12
-0.184027,0.431046,0.000000,-8.526568,-3.505350,0.000000,1.000000e-12
-0.183363,0.431648,0.000000,-8.530104,-3.489083,0.000000,1.000000e-12
-0.182698,0.432249,0.000000,-8.533601,-3.472855,0.000000,1.000000e-12
-0.182033,0.432849,0.000000,-8.537064,-3.456624,0.000000,1.000000e-12
-0.181367,0.433446,0.000000,-8.540485,-3.440448,0.000000,1.000000e-12
-0.180702,0.434043,0.000000,-8.543869,-3.424264,0.000000,1.000000e-12
-0.180036,0.434638,0.000000,-8.547213,-3.408124,0.000000,1.000000e-12
-0.179370,0.435232,0.000000,-8.550518,-3.391995,0.000000,1.000000e-12
-0.178703,0.435823,0.000000,-8.553789,-3.375903,0.000000,1.000000e-12
-0.178037,0.436414,0.000000,-8.557019,-3.359835,0.000000,1.000000e-12
-0.177370,0.437002,0.000000,-8.560219,-3.343794,0.000000,1.000000e-12
-0.176703,0.437590,0.000000,-8.563373,-3.327770,0.000000,1.000000e-12
-0.176035,0.438176,0.000000,-8.566492,-3.311751,0.000000,1.000000e-12
-0.175367,0.438761,0.000000,-8.569573,-3.295786,0.000000,1.000000e-12
-0.174699,0.439344,0.000000,-8.572622,-3.279838,0.000000,1.000000e-12
-0.174031,0.439925,0.000000,-8.575629,-3.263916,0.000000,1.000000e-12
-0.173363,0.440505,0.000000,-8.578603,-3.248014,0.000000,1.000000e-12
-0.172694,0.441083,0.000000,-8.581539,-3.232145,0.000000,1.000000e-12
-0.172025,0.441661,0.000000,-8.584445,-3.216267,0.000000,1.000000e-12
-0.171356,0.442237,0.000000,-8.587311,-3.200456,0.000000,1.000000e-12
-0.170687,0.442811,0.000000,-8.590136,-3.184648,0.000000,1.000000e-12
-0.170017,0.443383,0.000000,-8.592933,-3.168880,0.000000,1.000000e-12
-0.169347,0.443955,0.000000,-8.595690,-3.153114,0.000000,1.000000e-12
-0.168678,0.444525,0.000000,-8.598414,-3.137378,0.000000,1.000000e-12
-0.168007,0.445093,0.000000,-8.601098,-3.121670,0.000000,1.000000e-12
-0.167337,0.445660,0.000000,-8.603750,-3.105994,0.000000,1.000000e-12
-0.166666,0.446226,0.000000,-8.606371,-3.090334,0.000000,1.000000e-12
-0.165995,0.446790,0.000000,-8.608954,-3.074706,0.000000,1.000000e-12
-0.165324,0.447353,0.000000,-8.611506,-3.059084,0.000000,1.000000e-12
-0.164653,0.447914,0.000000,-8.614018,-3.043499,0.000000,1.000000e-12
-0.163982,0.448473,0.000000,-8.616501,-3.027960,0.000000,1.000000e-12
-0.163310,0.449032,0.000000,-8.618943,-3.012416,0.000000,1.000000e-12
-0.162638,0.449589,0.000000,-8.621361,-2.996902,0.000000,1.000000e-12
-0.161966,0.450145,0.000000,-8.623737,-2.981407,0.000000,1.000000e-12
-0.161294,0.450699,0.000000,-8.626084,-2.965948,0.000000,1.000000e-12
-0.160621,0.451252,0.000000,-8.628395,-2.950508,0.000000,1.000000e-12
-0.159949,0.451803,0.000000,-8.630673,-2.935116,0.000000,1.000000e-12
-0.159277,0.452353,0.000000,-8.632918,-2.919715,0.000000,1.000000e-12
-0.158604,0.452901,0.000000,-8.635133,-2.904362,0.000000,1.000000e-12
-0.157931,0.453449,0.000000,-8.637312,-2.889016,0.000000,1.000000e-12
